age,height_cm,weight_kgs,nationality,overall_rating,potential,wage,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,position_first,position_second,position_third,upper_work_rate,down_work_rate,num_of_work_rate,value
20,1.8288,72.1,44,57,68,0,1,1,3,3,3,0.001691802,171,64,28,44,61,46,22,47,42,58,52,48,35,52,79,85,67,51,56,51,43,46,45,48,46,51,52,57,37,46,36,42,38,6,8,8,8,7,51,51,51,59,56,56,56,59,55,55,55,57,50,50,50,57,53,47,47,47,53,51,44,44,44,51,12,10,0,1,3,0.333333333,180000
21,1.524,64.9,44,57,70,0.008810573,1,1,3,2,5,0.023071754,506,64,21,30,31,58,52,43,40,54,33,30,28,57,75,78,70,52,61,50,57,63,68,49,33,18,54,43,54,49,15,20,20,13,13,7,12,8,58,58,58,56,56,56,56,56,54,54,54,54,46,46,46,54,41,37,37,37,41,40,36,36,36,40,14,0,0,3,3,1,200000
20,1.7526,73,122,56,72,0.002202643,1,1,3,2,3,0.023071754,32,65,21,27,52,31,40,45,21,54,34,29,39,55,69,71,59,49,69,22,65,59,60,27,50,53,43,40,37,39,51,56,55,8,7,9,5,8,45,45,45,51,48,48,48,51,49,49,49,52,48,48,48,52,56,52,52,52,56,56,54,54,54,56,10,0,0,3,3,1,170000
25,1.8796,82.1,8,65,68,0.00660793,1,1,3,1,5,0.004034297,36,67,5,1,13,12,13,36,20,16,13,10,32,14,52,49,44,57,39,19,62,37,72,15,33,16,15,39,15,56,12,19,16,66,63,61,63,67,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,475000
21,1.8542,78.9,136,53,61,0,1,1,2,2,5,0.000515549,322,65,28,28,48,29,53,62,36,32,34,28,58,35,64,60,44,55,57,44,65,58,48,38,46,57,29,38,37,36,40,56,54,11,12,8,11,10,43,43,43,44,43,43,43,44,45,45,45,47,49,49,49,47,54,54,54,54,54,55,53,53,53,55,1,0,0,2,3,0.666666667,80000
22,1.7272,66.2,96,71,82,0.028634361,1,1,3,3,3,0.038475977,450,72,28,14,70,41,55,72,42,68,45,41,70,70,88,87,78,66,78,72,68,79,66,67,67,67,60,68,55,64,64,67,60,8,11,10,6,15,64,64,64,70,68,68,68,70,69,69,69,71,70,70,70,71,72,70,70,70,72,71,67,67,67,71,7,5,0,1,3,0.333333333,4100000
35,1.8288,69.9,76,67,67,0,1,1,3,3,3,0.002457617,451,68,28,25,67,52,47,71,59,67,63,69,67,71,68,69,77,65,66,63,58,70,68,65,55,49,58,66,66,62,58,58,55,7,12,6,6,15,63,63,63,67,66,66,66,67,68,68,68,68,67,67,67,68,65,64,64,64,65,63,59,59,59,63,4,1,0,1,3,0.333333333,325000
22,1.7272,66.2,118,67,75,0.004405286,0,1,3,3,5,0.011447191,479,70,28,14,62,60,50,66,36,65,65,63,65,68,65,67,73,66,72,63,63,75,62,62,64,64,64,69,66,61,60,65,60,12,6,11,12,12,63,63,63,67,66,66,66,67,67,67,67,67,68,68,68,67,67,67,67,67,67,66,64,64,64,66,4,11,0,3,3,1,1100000
21,1.524,68.9,122,59,69,0.004405286,1,1,3,2,5,0.002027159,35,72,21,39,42,25,49,65,25,53,36,31,56,58,58,65,66,56,83,46,41,64,64,33,65,59,40,52,44,49,46,57,53,6,14,12,10,12,48,48,48,52,51,51,51,52,54,54,54,55,57,57,57,55,58,60,60,60,58,57,57,57,57,57,2,0,0,3,3,1,220000
20,1.7018,64.9,123,57,71,0.00660793,1,1,3,2,3,0.002843028,97,70,21,42,48,48,44,56,43,60,46,43,56,60,75,71,76,50,84,53,54,51,40,37,39,27,49,53,51,55,41,41,43,6,7,8,13,9,54,54,54,58,57,57,57,58,57,57,57,58,54,54,54,58,51,48,48,48,51,50,44,44,44,50,0,7,5,3,3,1,230000
